Location_ID1,Asset_No,Asset_Category,Equipment_Group,Type3,component_type,Manufacturer1,Model1,Serial1,External_Ref,Status,Install_date,Last_Inspection_Date1,Condition1,Description,Lanes,Chainage,Direction,Lat,Long,Group ID
DWS_Test_Coeval_VMS,80977,Periodic Speed Limit Signs,DWS,Coeval PSLS 30,,Coeval,Matrix Test Sign,,,Installed,43209,,Good,,0,,,54.9346,-7.69675,NOT-IN-SCOPE
L1327_0001_CMU,987682793,Monitoring Detectors,TCIS  Parent Equipment,Cycle Monitoring Unit,,QFREE,HI-TRAC CMU,,,Installed,45350,,Good,QFREE CMU,0,,EASTBOUND,52.42084,-9.363398,NOT-IN-SCOPE
L3004_0225_VMS_1,987683287,  MS3,VMS,VMS VF2360 (96X384),,Daktronics,VF-2360-96x384-20-RGB,,,Installed,45429,,Good,MS3,,,NORTHBOUND,51.90178,-8.378139,NOT-IN-SCOPE
L3004_0226A_VMS_1,987683286,  MS3,VMS,VMS VF2360 (96X384),,Daktronics,VF-2360-96x384-20-RGB,,,Installed,45429,,Good,MS3 VMS,,,SOUTHBOUND,51.90248,-8.378096,NOT-IN-SCOPE
M07_0022_3GR_1,987680752,3G Routers,Comms,VIRTUAL ACCESS GW2028,,VIRTUAL ACCESS,GW2028,,1379,Installed,45146,,Good,3G VIRTUAL ACCESS ROUTER,,,,,,
,,,,,,,,,,,,,,,,,,,,
"mtccuser184@nra2.ie""",,22,NORTHBOUND,53.240859,-6.649424,M7E-J9J9A-21938E,,,,,,,,,,,,,,
M07_0022_VMS_1,987680338,  MS3,VMS,VMS VF2360 (96X384),,Daktronics,MS3,1660383,1374,Installed,45149,45414,Good,DAKTRONICS MS3,0,22,EASTBOUND,53.240859,-6.649424,M7E-J9J9A-21938E
M07_0028_CCT_1,91557,CCTV Cameras,CCTV,AXIS - Q6215-LE,,AXIS,Q6215-LE,b8a44f2c7688 ,STRATOCAST,Installed,44998,45426,Good,STRATOCAST CCTV,,28,NORTHBOUND,53.2086,-6.71361,M7E-J10J10-28056E
M07_0032_CCT_1,91558,CCTV Cameras,CCTV,AXIS - Q6215-LE,,AXIS,Q6215-LE,accc8ebfec2c ,STRATOCAST,Installed,44998,45426,Good,STRATOCAST CCTV CAMERA,,32,SOUTHBOUND,53.1765,-6.74344,M7W-J11J10-32183W
M07_0088_3GR_1,345,3G Routers,Comms,VIRTUAL ACCESS GW2000,,VIRTUAL ACCESS,GW2000,00E0C8012393,490,Installed,40431,45366,Good,VIRTUAL ACCESS GW2000,2,94.5,Southbound,52.9321,-7.46763,NOT-IN-SCOPE
M07_0088_ANP_1,80976,ANPR ,TCIS  Parent Equipment,Jenoptik Vector,,Jenoptik,Vector,123456,673,Installed,43208,43208,Good,Vysionics Dual-Lane ANPR Camera,,,,,,
,,,,,,,,,,,,,,,,,,,,
Camera VNC connection: Vy$ion!1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Username: Manager,,,,,,,,,,,,,,,,,,,,
"Password: Vector123""",2,94.5,Southbound,52.932149,-7.467626,NOT-IN-SCOPE,,,,,,,,,,,,,,
M07_0089_3GR_1,339,3G Routers,Comms,VIRTUAL ACCESS GW2000,,VIRTUAL ACCESS,GW2000,00E0C800F78C,185,Installed,41791,45358,Good,VIRTUAL ACCESS GW2000,2,31.5,Southbound,53.1834,-6.73559,M7W-J11J10-31252W
M07_0089_ANP_1,341,ANPR ,TCIS  Parent Equipment,3M P392 +,,3M,P392+,16874,637,Installed,41064,45449,Good,ANPR 3M P392,2,31.5,Southbound,53.1833,-6.73548,M7W-J11J10-31252W
M07_0089_ANP_2,343,ANPR ,TCIS  Parent Equipment,3M P392 +,,3M,P392+,16869,N/A,Installed,41791,45449,Good,ANPR 3M P392,2,31.5,Southbound,53.1833,-6.73548,M7W-J11J10-31252W
M07_0119_3GR_1,1545,3G Routers,Comms,VIRTUAL ACCESS GW2000,,VIRTUAL ACCESS,GW2000,00E0C800FF81,299,Installed,41064,42676,Good,VIRTUAL ACCESS GW2000,2,24000,Northbound,53.2416,-6.66295,M7E-J9AJ9-22859E
M07_0119_ANP_1,TMP000748,ANPR ,TCIS  Parent Equipment,3M P392,,3M,P392,1524890,613,Installed,41791,45355,Good,ANPR 3M P392,3,24000,Northbound,53.2416,-6.66297,M7E-J9AJ9-22859E
M07_0119_ANP_2,TMP000749,ANPR ,TCIS  Parent Equipment,3M P392,,3M,P392,1519777,614,Installed,41791,45355,Good,ANPR 3M P392,3,24000,Northbound,53.2416,-6.66297,M7E-J9AJ9-22859E
M07_0120_3GR_1,952,3G Routers,Comms,VIRTUAL ACCESS GW2000,,VIRTUAL ACCESS,GW2000,00E0C800FF83,894,Installed,41791,45357,Good,VIRTUAL ACCESS GW2000,2,28.5,Northbound,53.1924,-6.72592,M7E-J10J11-30067E
M07_0120_ANP_1,955,ANPR ,TCIS  Parent Equipment,3M P392,,3M,P392,15693,615,Installed,41234,45448,Mediocre,ANPR PIPS P392,,,,,,
,,,,,,,,,,,,,,,,,,,,
",2,28.5,Northbound,53.1924,-6.72592,M7E-J10J11-30067E",,,,,,,,,,,,,,,,,,,,
M07_0120_ANP_2,956,ANPR ,TCIS  Parent Equipment,3M P392,,3M,P392,15699,616,Installed,41253,45448,Mediocre,ANPR 3M P392,2,28.5,Northbound,53.1924,-6.72592,M7E-J10J11-30067E
M07_0121_3GR_1,947,3G Routers,Comms,VIRTUAL ACCESS GW2040,,VIRTUAL ACCESS,GW2040,00E0C800FF8B,314,Installed,41791,45356,Good,VIRTUAL ACCESS GW2040,2,46,Northbound,53.1547,-6.95272,NOT-IN-SCOPE
